Game_Number,Date,Opponent,At_Bats,Hits,Runs,RBI,Home_Runs,Doubles,Triples,Walks,Strikeouts,Stolen_Bases,Game_Average,Cumulative_Average
120,2024-08-14,vs Oakland Athletics,4,4,1,3,1,1,0,0,0,0,1.000,0.246
121,2024-08-15,vs Oakland Athletics,3,0,2,0,0,0,0,2,1,0,0.000,0.245
122,2024-08-16,vs Miami Marlins,4,0,0,0,0,0,0,0,3,0,0.000,0.242
123,2024-08-17,vs Miami Marlins,4,1,1,1,1,0,0,0,1,0,0.250,0.243
124,2024-08-18,vs Miami Marlins,3,1,0,0,0,0,0,1,0,0,0.333,0.243
125,2024-08-19,vs Baltimore Orioles,3,1,1,0,0,1,0,1,1,0,0.333,0.244
126,2024-08-20,vs Baltimore Orioles,3,0,0,0,0,0,0,1,1,0,0.000,0.242
127,2024-08-21,vs Baltimore Orioles,2,1,0,0,0,0,0,2,0,0,0.500,0.243
128,2024-08-22,@ San Diego Padres,5,3,1,1,0,0,0,0,1,0,0.600,0.247
129,2024-08-23,@ San Diego Padres,3,0,0,0,0,0,0,0,2,0,0.000,0.245
130,2024-08-24,@ San Diego Padres,4,1,0,1,0,1,0,0,3,0,0.250,0.245
131,2024-08-25,@ San Diego Padres,4,1,0,0,0,0,0,0,1,0,0.250,0.245
132,2024-08-27,@ Arizona Diamondbacks,5,1,1,1,1,0,0,0,2,0,0.200,0.245
133,2024-08-28,@ Arizona Diamondbacks,3,0,0,1,0,0,0,0,0,0,0.000,0.244
134,2024-08-29,@ Arizona Diamondbacks,4,1,1,1,1,0,0,0,2,0,0.250,0.244
135,2024-08-30,@ Chicago White Sox,4,0,1,0,0,0,0,1,2,0,0.000,0.242
136,2024-08-31,@ Chicago White Sox,5,2,2,2,1,0,0,0,2,0,0.400,0.243
137,2024-09-01,@ Chicago White Sox,4,0,0,0,0,0,0,0,3,0,0.000,0.241
138,2024-09-02,vs Boston Red Sox,3,0,0,0,0,0,0,1,1,0,0.000,0.240
139,2024-09-03,vs Boston Red Sox,4,2,1,2,1,0,0,0,2,0,0.500,0.242
140,2024-09-04,vs Boston Red Sox,4,0,0,0,0,0,0,0,3,0,0.000,0.240
141,2024-09-06,vs Cincinnati Reds,4,1,1,0,0,1,0,0,1,0,0.250,0.240
142,2024-09-07,vs Cincinnati Reds,4,2,1,1,0,0,0,0,1,0,0.500,0.242
143,2024-09-08,vs Cincinnati Reds,1,0,1,0,0,0,0,2,1,0,0.000,0.242
144,2024-09-09,@ Toronto Blue Jays,3,0,1,0,0,0,0,1,1,0,0.000,0.240
145,2024-09-10,@ Toronto Blue Jays,3,0,0,0,0,0,0,0,1,0,0.000,0.239
146,2024-09-11,@ Toronto Blue Jays,2,0,0,1,0,0,0,0,0,0,0.000,0.238
147,2024-09-13,@ Philadelphia Phillies,4,2,1,1,1,0,0,1,1,0,0.500,0.240
148,2024-09-14,@ Philadelphia Phillies,3,1,1,0,0,0,0,1,0,0,0.333,0.241
149,2024-09-15,@ Philadelphia Phillies,4,2,0,0,0,0,0,0,1,0,0.500,0.242
150,2024-09-16,vs Washington Nationals,4,1,0,0,0,0,0,0,2,0,0.250,0.242
